workerId,video.left,video.right,o.true,c.true,e.true,a.true,n.true,o.answer,c.answer,e.answer,a.answer,n.answer
A5V3ZMQI0PU3F,ef2f7d7dbf_78.mp4,c651eb1676_71.mp4,left,left,left,left,right,left,left,left,right,left
A32CMQGGTSUK6Z,ef2f7d7dbf_78.mp4,c651eb1676_71.mp4,left,left,left,left,right,right,right,left,right,equal
A1CF6U3GF7DZEJ,ef2f7d7dbf_78.mp4,c651eb1676_71.mp4,left,left,left,left,right,left,left,left,left,equal
A2KJ983WWTEK4L,ef2f7d7dbf_78.mp4,c651eb1676_71.mp4,left,left,left,left,right,left,right,left,right,left
A3UUH3632AI3ZX,ef2f7d7dbf_78.mp4,c651eb1676_71.mp4,left,left,left,left,right,right,left,left,right,left
A3UUH3632AI3ZX,faf57b8b8a_4.mp4,9d22732682_30.mp4,left,left,right,left,left,right,left,right,left,right
A2KJ983WWTEK4L,faf57b8b8a_4.mp4,9d22732682_30.mp4,left,left,right,left,left,right,right,right,right,left
AXQWKUJF7SQXP,faf57b8b8a_4.mp4,9d22732682_30.mp4,left,left,right,left,left,left,right,right,left,right
A314XJY8V1YL12,faf57b8b8a_4.mp4,9d22732682_30.mp4,left,left,right,left,left,left,left,right,right,right
AISFU4P55HYEH,faf57b8b8a_4.mp4,9d22732682_30.mp4,left,left,right,left,left,left,left,right,left,right
AMX5R6NLYNA2K,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,left,left,left,left,right,right,right,right,right,left
A3UUH3632AI3ZX,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,left,left,left,left,right,right,right,right,right,left
AXQWKUJF7SQXP,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,left,left,left,left,right,right,right,right,right,left
AISFU4P55HYEH,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,left,left,left,left,right,right,right,right,right,left
A3L3ZFL1NYFTCF,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,left,left,left,left,right,left,right,right,left,left
A3UUH3632AI3ZX,82ab936b7a_3.mp4,252dd328ef_4.mp4,right,right,left,right,left,right,left,left,right,left
A3CAF7LTD3ORSG,82ab936b7a_3.mp4,252dd328ef_4.mp4,right,right,left,right,left,right,left,left,left,equal
A314XJY8V1YL12,82ab936b7a_3.mp4,252dd328ef_4.mp4,right,right,left,right,left,right,left,left,left,right
A1CF6U3GF7DZEJ,82ab936b7a_3.mp4,252dd328ef_4.mp4,right,right,left,right,left,right,right,right,left,right
AMX5R6NLYNA2K,82ab936b7a_3.mp4,252dd328ef_4.mp4,right,right,left,right,left,right,left,left,right,right
A9HQ3E0F2AGVO,c651eb1676_139.mp4,7a393124cb_13.mp4,left,left,left,left,right,right,right,left,right,right
A32CMQGGTSUK6Z,c651eb1676_139.mp4,7a393124cb_13.mp4,left,left,left,left,right,right,right,right,right,left
A2KJ983WWTEK4L,c651eb1676_139.mp4,7a393124cb_13.mp4,left,left,left,left,right,right,right,left,left,left
A1CF6U3GF7DZEJ,c651eb1676_139.mp4,7a393124cb_13.mp4,left,left,left,left,right,left,left,right,equal,equal
