workerId,video.left,video.right,o.true,c.true,e.true,a.true,n.true,o.answer,c.answer,e.answer,a.answer,n.answer
A2UF2FRGVW4T89,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,right,left,right,left
A3QZMGTVA4VO44,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,left,left,left,left
A26399B1QZ7XJJ,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,left,left,right,left
A2QD9PJUKW7PKK,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,left,left,left,left
A1IU5OP7BBZHZ7,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,left,left,right,right
A3O81LHBBI8NPK,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,left,left,right,left
A2D7SD76AM3Y9C,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,right,right,left,right
A3QS7M912JGKFD,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,left,left,right,left
A272A0JGRTBFCR,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,right,right,right,right
AH3ER3EJXHRO2,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,left,left,right,left
AISFU4P55HYEH,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,left,left,right,left
A13XXMDHOULEZ7,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,right,left,left,left
A1NF6PELRKACS9,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,left,left,right,right
A18LFH7XW61JO9,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,left,left,left,left
A3EG4C9T4F5DUR,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,left,left,left,right
A5LYLHG880ABE,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,right,right,right,left
A2J237J8KM3OCS,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,right,right,left,left
ASWZO1WY1UHEP,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,left,left,right,left
A3UUH3632AI3ZX,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,left,left,left,left
A2SSYBUT9ZM0G9,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,left,left,left,right
A3CAF7LTD3ORSG,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,right,left,left,left
A1Q7VWUBIJOK17,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,left,left,right,left
AMX5R6NLYNA2K,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,left,left,right,left
A1CF6U3GF7DZEJ,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,left,left,left,right
A1EX0MEOPF8AHT,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,left,left,left,right
A3169N2SCN3ENK,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,left,right,left,left
A3QI1RV4HQ9MOC,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,left,left,right,left,right
A22KRF782ELLB0,82ab936b7a_3.mp4,dfbe16e76b_56.mp4,left,left,left,left,left,right,left,left,left,left
A1CF6U3GF7DZEJ,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,right,right,left,left
A3QZMGTVA4VO44,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,right,left,right,right,left
AISFU4P55HYEH,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,left,left
A3QS7M912JGKFD,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,right,left,right,left,left
ARJ6SPCZJVARE,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,left,left
A2QD9PJUKW7PKK,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,right,right,left,right
A13XXMDHOULEZ7,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,right,right
A3EG4C9T4F5DUR,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,right,left
A5LYLHG880ABE,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,left,left
A2J237J8KM3OCS,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,right,right
ASWZO1WY1UHEP,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,right,left
A18LFH7XW61JO9,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,right,left
A1IU5OP7BBZHZ7,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,right,left,right,right,left
A3UUH3632AI3ZX,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,left,left
A3169N2SCN3ENK,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,right,left
A3QI1RV4HQ9MOC,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,left,right
A1Q7VWUBIJOK17,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,right,left
A3O81LHBBI8NPK,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,left,left
AMX5R6NLYNA2K,40bb63a7fd_34.mp4,6e8b99814c_12.mp4,right,left,right,left,right,left,left,right,left,left
