extroversion_video1,pers_ext_1,extroversion_video2,pers_ext_2,neuroticism_video1,pers_neu_1,neuroticism_video2,pers_neu_2,agreeableness_video1,pers_ag_1,agreeableness_video2,pers_agree_2,conscientiousness_video1,pers_cons_1,conscientiousness_video2,pers_cons_2,openness_video1,pers_open_1,openness_video2,pers_open_2
dfbe16e76b_27.mp4,0,2457d01ae7_8.mp4,0.25,dfbe16e76b_56.mp4,0,a2dd854c9c_8.mp4,0.25,b573489dbe_4.mp4,0,4fdf48c5b7_28.mp4,0.25,f2d95ed15e_9.mp4,0,a2dd854c9c_8.mp4,0.25,6a10f8759a_30.mp4,0,a2dd854c9c_8.mp4,0.25
dfbe16e76b_27.mp4,0,8172b14d94_11.mp4,0.5,dfbe16e76b_56.mp4,0,8172b14d94_11.mp4,0.5,b573489dbe_4.mp4,0,84fecd8025_11.mp4,0.5,f2d95ed15e_9.mp4,0,8172b14d94_11.mp4,0.5,6a10f8759a_30.mp4,0,84fecd8025_11.mp4,0.5
dfbe16e76b_27.mp4,0,24c1c7e0d3_13.mp4,0.75,dfbe16e76b_56.mp4,0,4274b5c7b4_49.mp4,0.75,b573489dbe_4.mp4,0,8172b14d94_11.mp4,0.75,f2d95ed15e_9.mp4,0,7cd91fe3d6_3.mp4,0.75,6a10f8759a_30.mp4,0,8172b14d94_11.mp4,0.75
dfbe16e76b_27.mp4,0,6e50939401_6.mp4,1,dfbe16e76b_56.mp4,0,82ab936b7a_3.mp4,1,b573489dbe_4.mp4,0,c651eb1676_50.mp4,1,f2d95ed15e_9.mp4,0,b8a4c17fbe_9.mp4,1,6a10f8759a_30.mp4,0,c651eb1676_50.mp4,1
2457d01ae7_8.mp4,0.25,8172b14d94_11.mp4,0.5,a2dd854c9c_8.mp4,0.25,8172b14d94_11.mp4,0.5,4fdf48c5b7_28.mp4,0.25,84fecd8025_11.mp4,0.5,a2dd854c9c_8.mp4,0.25,8172b14d94_11.mp4,0.5,a2dd854c9c_8.mp4,0.25,84fecd8025_11.mp4,0.5
2457d01ae7_8.mp4,0.25,24c1c7e0d3_13.mp4,0.75,a2dd854c9c_8.mp4,0.25,4274b5c7b4_49.mp4,0.75,4fdf48c5b7_28.mp4,0.25,8172b14d94_11.mp4,0.75,a2dd854c9c_8.mp4,0.25,7cd91fe3d6_3.mp4,0.75,a2dd854c9c_8.mp4,0.25,8172b14d94_11.mp4,0.75
2457d01ae7_8.mp4,0.25,6e50939401_6.mp4,1,a2dd854c9c_8.mp4,0.25,82ab936b7a_3.mp4,1,4fdf48c5b7_28.mp4,0.25,c651eb1676_50.mp4,1,a2dd854c9c_8.mp4,0.25,b8a4c17fbe_9.mp4,1,a2dd854c9c_8.mp4,0.25,c651eb1676_50.mp4,1
8172b14d94_11.mp4,0.5,24c1c7e0d3_13.mp4,0.75,8172b14d94_11.mp4,0.5,4274b5c7b4_49.mp4,0.75,84fecd8025_11.mp4,0.5,8172b14d94_11.mp4,0.75,8172b14d94_11.mp4,0.5,7cd91fe3d6_3.mp4,0.75,84fecd8025_11.mp4,0.5,8172b14d94_11.mp4,0.75
8172b14d94_11.mp4,0.5,6e50939401_6.mp4,1,8172b14d94_11.mp4,0.5,82ab936b7a_3.mp4,1,84fecd8025_11.mp4,0.5,c651eb1676_50.mp4,1,8172b14d94_11.mp4,0.5,b8a4c17fbe_9.mp4,1,84fecd8025_11.mp4,0.5,c651eb1676_50.mp4,1
24c1c7e0d3_13.mp4,0.75,6e50939401_6.mp4,1,4274b5c7b4_49.mp4,0.75,82ab936b7a_3.mp4,1,8172b14d94_11.mp4,0.75,c651eb1676_50.mp4,1,7cd91fe3d6_3.mp4,0.75,b8a4c17fbe_9.mp4,1,8172b14d94_11.mp4,0.75,c651eb1676_50.mp4,1
