"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.extroversion_video1","Input.extroversion_video2","Input.neuroticism_video1","Input.neuroticism_video2","Input.agreeableness_video1","Input.agreeableness_video2","Input.conscientiousness_video1","Input.conscientiousness_video2","Input.openness_video1","Input.openness_video2","Answer.h11","Answer.h12.Female","Answer.h12.Male","Answer.h12.Other","Answer.h12.Prefer not to say","Answer.h13.Hispanic or Latino","Answer.h13.Not Hispanic or Latino","Answer.h13.Prefer not to say","Answer.h14.American Indian or Alaska Native","Answer.h14.Asian","Answer.h14.Black or African American","Answer.h14.Native Hawaiian or Other Pacific Islander","Answer.h14.Prefer not to say","Answer.h14.White","Answer.hA.equal","Answer.hA.left","Answer.hA.right","Answer.hC.equal","Answer.hC.left","Answer.hC.right","Answer.hE.equal","Answer.hE.left","Answer.hE.right","Answer.hN.equal","Answer.hN.left","Answer.hN.right","Answer.hO.equal","Answer.hO.left","Answer.hO.right","Answer.hT.equal","Answer.hT.left","Answer.hT.right","Approve","Reject"
"3W0XM68YZPPQO46K4K1DB579XYI1KI","3ENV39ZM2W14B9LEHNAV0U0OON9037","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Sun Jul 14 15:51:55 PDT 2024","7","BatchId:5239769;OriginalHitTemplateId:928390828;","300","259200","Sun Jul 21 15:51:55 PDT 2024","","","3Z4AIRP3C77ZVO3LT5L4PJB36JKX1J","A5V3ZMQI0PU3F","Approved","Sun Jul 14 16:35:22 PDT 2024","Sun Jul 14 16:38:26 PDT 2024","Wed Jul 17 16:38:26 PDT 2024","Sun Jul 14 18:07:21 PDT 2024","","","184","100% (1/1)","100% (1/1)","100% (1/1)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","61","true","false","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","true","false","false","true","false","false","true","false","false","true","false","true","false","false"
"3W0XM68YZPPQO46K4K1DB579XYI1KI","3ENV39ZM2W14B9LEHNAV0U0OON9037","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Sun Jul 14 15:51:55 PDT 2024","7","BatchId:5239769;OriginalHitTemplateId:928390828;","300","259200","Sun Jul 21 15:51:55 PDT 2024","","","3J4Q2Z4UTZX8NSIC4FFXO1545T9QWH","A32CMQGGTSUK6Z","Approved","Sun Jul 14 17:00:53 PDT 2024","Sun Jul 14 17:01:56 PDT 2024","Wed Jul 17 17:01:56 PDT 2024","Sun Jul 14 18:07:20 PDT 2024","","","63","100% (20/20)","100% (20/20)","100% (20/20)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","38","false","true","false","false","false","true","false","false","false","false","false","false","true","false","false","true","false","false","true","false","true","false","true","false","false","false","false","true","true","false","false"
"3W0XM68YZPPQO46K4K1DB579XYI1KI","3ENV39ZM2W14B9LEHNAV0U0OON9037","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Sun Jul 14 15:51:55 PDT 2024","7","BatchId:5239769;OriginalHitTemplateId:928390828;","300","259200","Sun Jul 21 15:51:55 PDT 2024","","","3AAPLD8UCDB3IIFFQKNSS364ACVTHY","A353KETOEN0W8T","Rejected","Sun Jul 14 17:00:41 PDT 2024","Sun Jul 14 17:05:17 PDT 2024","Wed Jul 17 17:05:17 PDT 2024","","Sun Jul 14 18:02:26 PDT 2024","Poor quality","276","47% (7/15)","47% (7/15)","47% (7/15)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","39","false","true","false","false","false","true","false","false","true","false","false","false","false","false","false","true","false","true","false","false","true","false","false","false","true","false","false","true","true","false","false"
"3W0XM68YZPPQO46K4K1DB579XYI1KI","3ENV39ZM2W14B9LEHNAV0U0OON9037","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Sun Jul 14 15:51:55 PDT 2024","7","BatchId:5239769;OriginalHitTemplateId:928390828;","300","259200","Sun Jul 21 15:51:55 PDT 2024","","","36W0OB37HX8Z4UOEWCCAER7LV8JZHM","A1CF6U3GF7DZEJ","Approved","Sun Jul 14 17:16:30 PDT 2024","Sun Jul 14 17:18:58 PDT 2024","Wed Jul 17 17:18:58 PDT 2024","Sun Jul 14 18:07:21 PDT 2024","","","148","100% (32/32)","100% (30/30)","100% (30/30)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","71","false","true","false","false","false","true","false","false","true","false","false","false","false","false","true","false","false","true","false","false","true","false","true","false","false","false","true","false","true","false","false"
"3W0XM68YZPPQO46K4K1DB579XYI1KI","3ENV39ZM2W14B9LEHNAV0U0OON9037","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Sun Jul 14 15:51:55 PDT 2024","7","BatchId:5239769;OriginalHitTemplateId:928390828;","300","259200","Sun Jul 21 15:51:55 PDT 2024","","","3JC6VJ2SACDMNTWBJIV281DMHEMA5G","AA7BTDZQNHW5","Rejected","Sun Jul 14 17:18:00 PDT 2024","Sun Jul 14 17:20:56 PDT 2024","Wed Jul 17 17:20:56 PDT 2024","","Sun Jul 14 18:03:25 PDT 2024","Poor quality","176","43% (9/21)","43% (9/21)","43% (9/21)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","42","true","false","false","false","false","true","false","false","true","false","false","false","false","false","false","true","false","true","false","false","false","true","false","true","false","false","false","true","true","false","false"
"3W0XM68YZPPQO46K4K1DB579XYI1KI","3ENV39ZM2W14B9LEHNAV0U0OON9037","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Sun Jul 14 15:51:55 PDT 2024","7","BatchId:5239769;OriginalHitTemplateId:928390828;","300","259200","Sun Jul 21 15:51:55 PDT 2024","","","323Q6SJS8JATZDXEV0I3BZR3J3UHFL","A2KJ983WWTEK4L","Approved","Sun Jul 14 18:03:27 PDT 2024","Sun Jul 14 18:04:41 PDT 2024","Wed Jul 17 18:04:41 PDT 2024","Sun Jul 14 18:07:21 PDT 2024","","","74","100% (44/44)","100% (42/42)","100% (42/42)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","59","false","true","false","false","false","true","false","false","true","false","false","false","false","false","false","true","false","false","true","false","true","false","false","true","false","false","true","false","true","false","false"
"3W0XM68YZPPQO46K4K1DB579XYI1KI","3ENV39ZM2W14B9LEHNAV0U0OON9037","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Sun Jul 14 15:51:55 PDT 2024","7","BatchId:5239769;OriginalHitTemplateId:928390828;","300","259200","Sun Jul 21 15:51:55 PDT 2024","","","39ZSFO5CA9QE91PUEPGN9C8L6IDJUR","A3UUH3632AI3ZX","Approved","Sun Jul 14 18:04:57 PDT 2024","Sun Jul 14 18:05:55 PDT 2024","Wed Jul 17 18:05:55 PDT 2024","Sun Jul 14 18:07:20 PDT 2024","","","58","100% (40/40)","100% (40/40)","100% (40/40)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","36","false","true","false","false","false","true","false","false","false","false","false","false","true","false","false","true","false","true","false","false","true","false","false","true","false","false","false","true","true","false","false"
"3PR3LXCWSFTEX98M7GVVG5XURIKX99","3ENV39ZM2W14B9LEHNAV0U0OON9037","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Sun Jul 14 15:51:55 PDT 2024","6","BatchId:5239769;OriginalHitTemplateId:928390828;","300","259200","Sun Jul 21 15:51:55 PDT 2024","","","3KXIR214I5AFM7X7SYJDXROA5U024X","AA7BTDZQNHW5","Rejected","Sun Jul 14 17:25:31 PDT 2024","Sun Jul 14 17:27:38 PDT 2024","Wed Jul 17 17:27:38 PDT 2024","","Sun Jul 14 18:03:30 PDT 2024","Poor quality","127","43% (9/21)","43% (9/21)","43% (9/21)","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_11.mp4","https://www.cs.umb.edu/~srikark/selected_videos/399374e32d_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/faf57b8b8a_4.mp4","https://www.cs.umb.edu/~srikark/selected_videos/9d22732682_30.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dabac09516_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_62.mp4","https://www.cs.umb.edu/~srikark/selected_videos/a6a618dc02_1.mp4","42","true","false","false","false","false","true","false","false","true","false","false","false","false","false","true","false","false","true","false","false","true","false","false","true","false","false","true","false","true","false","false"
"3PR3LXCWSFTEX98M7GVVG5XURIKX99","3ENV39ZM2W14B9LEHNAV0U0OON9037","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Sun Jul 14 15:51:55 PDT 2024","6","BatchId:5239769;OriginalHitTemplateId:928390828;","300","259200","Sun Jul 21 15:51:55 PDT 2024","","","3TOK3KHVJUCQC14VHUFH7GBNX1MO79","A3UUH3632AI3ZX","Approved","Sun Jul 14 17:32:36 PDT 2024","Sun Jul 14 17:34:42 PDT 2024","Wed Jul 17 17:34:42 PDT 2024","Sun Jul 14 18:06:44 PDT 2024","","","126","100% (40/40)","100% (40/40)","100% (40/40)","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_11.mp4","https://www.cs.umb.edu/~srikark/selected_videos/399374e32d_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/faf57b8b8a_4.mp4","https://www.cs.umb.edu/~srikark/selected_videos/9d22732682_30.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dabac09516_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_62.mp4","https://www.cs.umb.edu/~srikark/selected_videos/a6a618dc02_1.mp4","36","false","true","false","false","false","true","false","false","false","false","false","false","true","false","true","false","false","true","false","false","false","true","false","false","true","false","false","true","true","false","false"
"3PR3LXCWSFTEX98M7GVVG5XURIKX99","3ENV39ZM2W14B9LEHNAV0U0OON9037","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Sun Jul 14 15:51:55 PDT 2024","6","BatchId:5239769;OriginalHitTemplateId:928390828;","300","259200","Sun Jul 21 15:51:55 PDT 2024","","","3Z4AIRP3C77ZVO3LT5L4PJB36JS1XV","A2KJ983WWTEK4L","Approved","Sun Jul 14 17:34:47 PDT 2024","Sun Jul 14 17:36:35 PDT 2024","Wed Jul 17 17:36:35 PDT 2024","Sun Jul 14 18:06:44 PDT 2024","","","108","100% (44/44)","100% (42/42)","100% (42/42)","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_11.mp4","https://www.cs.umb.edu/~srikark/selected_videos/399374e32d_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/faf57b8b8a_4.mp4","https://www.cs.umb.edu/~srikark/selected_videos/9d22732682_30.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dabac09516_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_62.mp4","https://www.cs.umb.edu/~srikark/selected_videos/a6a618dc02_1.mp4","59","false","true","false","false","false","true","false","false","true","false","false","false","false","false","false","true","false","false","true","false","false","true","false","true","false","false","false","true","true","false","false"
