"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.extroversion_video1","Input.extroversion_video2","Input.neuroticism_video1","Input.neuroticism_video2","Input.agreeableness_video1","Input.agreeableness_video2","Input.conscientiousness_video1","Input.conscientiousness_video2","Input.openness_video1","Input.openness_video2","Answer.h11","Answer.h12.Female","Answer.h12.Male","Answer.h12.Other","Answer.h12.Prefer not to say","Answer.h13.Hispanic or Latino","Answer.h13.Not Hispanic or Latino","Answer.h13.Prefer not to say","Answer.h14.American Indian or Alaska Native","Answer.h14.Asian","Answer.h14.Black or African American","Answer.h14.Native Hawaiian or Other Pacific Islander","Answer.h14.Prefer not to say","Answer.h14.White","Answer.hA.left","Answer.hA.right","Answer.hC.left","Answer.hC.right","Answer.hE.left","Answer.hE.right","Answer.hN.left","Answer.hN.right","Answer.hO.left","Answer.hO.right","Answer.hTLeft.left","Answer.hTLeft.right","Answer.hTRight.left","Answer.hTRight.right","Approve","Reject"
"324N5FAHSX56AGMIBYL2ITEPM3FVKT","31R230RZ7RH392G6IXRAPV0N77C8LG","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Wed Jul 17 13:20:43 PDT 2024","32","BatchId:5240732;OriginalHitTemplateId:928390828;","600","259200","Wed Jul 24 13:20:43 PDT 2024","","","3137ONMDKHZNT327GJGF8HU2TUXGEJ","A36LOA6VLJU157","Approved","Wed Jul 17 13:47:31 PDT 2024","Wed Jul 17 13:50:24 PDT 2024","Sat Jul 20 13:50:24 PDT 2024","Wed Jul 17 14:36:06 PDT 2024","","","173","100% (8/8)","100% (8/8)","100% (8/8)","https://www.cs.umb.edu/~srikark/selected_videos/e918b859ee_3.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_17.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7a393124cb_1.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c8c00639ec_21.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_38.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e5124f7ead_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/068371806d_41.mp4","https://www.cs.umb.edu/~srikark/selected_videos/8672769492_49.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e4ec916c5d_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/2197da9321_19.mp4","39","true","false","false","false","false","true","false","false","false","true","false","false","false","true","false","true","false","true","false","true","false","false","true","true","false","false","true"
"324N5FAHSX56AGMIBYL2ITEPM3FVKT","31R230RZ7RH392G6IXRAPV0N77C8LG","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Wed Jul 17 13:20:43 PDT 2024","32","BatchId:5240732;OriginalHitTemplateId:928390828;","600","259200","Wed Jul 24 13:20:43 PDT 2024","","","3180JW2OT56XOMZFDO8F10G58VRJ55","AMX5R6NLYNA2K","Approved","Wed Jul 17 16:43:31 PDT 2024","Wed Jul 17 16:46:14 PDT 2024","Sat Jul 20 16:46:14 PDT 2024","Wed Jul 17 17:24:23 PDT 2024","","","163","100% (28/28)","100% (28/28)","100% (28/28)","https://www.cs.umb.edu/~srikark/selected_videos/e918b859ee_3.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_17.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7a393124cb_1.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c8c00639ec_21.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_38.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e5124f7ead_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/068371806d_41.mp4","https://www.cs.umb.edu/~srikark/selected_videos/8672769492_49.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e4ec916c5d_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/2197da9321_19.mp4","32","false","true","false","false","false","true","false","false","false","false","false","false","true","false","true","false","true","true","false","false","true","true","false","true","false","false","true"
"324N5FAHSX56AGMIBYL2ITEPM3FVKT","31R230RZ7RH392G6IXRAPV0N77C8LG","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Wed Jul 17 13:20:43 PDT 2024","32","BatchId:5240732;OriginalHitTemplateId:928390828;","600","259200","Wed Jul 24 13:20:43 PDT 2024","","","336YQZE83W8NPU50GLL7HS8MCN5M5R","ASWZO1WY1UHEP","Approved","Wed Jul 17 13:22:21 PDT 2024","Wed Jul 17 13:26:33 PDT 2024","Sat Jul 20 13:26:33 PDT 2024","Wed Jul 17 14:36:06 PDT 2024","","","252","100% (14/14)","100% (13/13)","100% (13/13)","https://www.cs.umb.edu/~srikark/selected_videos/e918b859ee_3.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_17.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7a393124cb_1.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c8c00639ec_21.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_38.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e5124f7ead_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/068371806d_41.mp4","https://www.cs.umb.edu/~srikark/selected_videos/8672769492_49.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e4ec916c5d_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/2197da9321_19.mp4","37","false","true","false","false","false","true","false","false","true","false","false","false","false","false","true","false","true","true","false","false","true","true","false","true","false","false","true"
"324N5FAHSX56AGMIBYL2ITEPM3FVKT","31R230RZ7RH392G6IXRAPV0N77C8LG","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Wed Jul 17 13:20:43 PDT 2024","32","BatchId:5240732;OriginalHitTemplateId:928390828;","600","259200","Wed Jul 24 13:20:43 PDT 2024","","","33L7PJKHCHSAP7EMNGTMFQD58L2T81","A16FIPBHBYLFKY","Approved","Wed Jul 17 13:22:01 PDT 2024","Wed Jul 17 13:27:30 PDT 2024","Sat Jul 20 13:27:30 PDT 2024","Wed Jul 17 14:36:06 PDT 2024","","","329","100% (7/7)","100% (7/7)","100% (7/7)","https://www.cs.umb.edu/~srikark/selected_videos/e918b859ee_3.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_17.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7a393124cb_1.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c8c00639ec_21.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_38.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e5124f7ead_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/068371806d_41.mp4","https://www.cs.umb.edu/~srikark/selected_videos/8672769492_49.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e4ec916c5d_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/2197da9321_19.mp4","36","false","true","false","false","false","true","false","false","true","false","false","false","false","true","false","false","true","false","true","false","true","true","false","true","false","false","true"
"324N5FAHSX56AGMIBYL2ITEPM3FVKT","31R230RZ7RH392G6IXRAPV0N77C8LG","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Wed Jul 17 13:20:43 PDT 2024","32","BatchId:5240732;OriginalHitTemplateId:928390828;","600","259200","Wed Jul 24 13:20:43 PDT 2024","","","36AHBNMV1S6INO97EUR19ZJLYG8DYB","A264NN7JBX4UDQ","Rejected","Wed Jul 17 17:38:44 PDT 2024","Wed Jul 17 17:41:19 PDT 2024","Sat Jul 20 17:41:19 PDT 2024","","Wed Jul 17 18:02:59 PDT 2024","Poor quality","155","0% (0/3)","0% (0/3)","0% (0/3)","https://www.cs.umb.edu/~srikark/selected_videos/e918b859ee_3.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_17.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7a393124cb_1.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c8c00639ec_21.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_38.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e5124f7ead_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/068371806d_41.mp4","https://www.cs.umb.edu/~srikark/selected_videos/8672769492_49.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e4ec916c5d_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/2197da9321_19.mp4","38","false","true","false","false","false","true","false","false","false","false","false","false","true","true","false","true","false","true","false","true","false","true","false","false","true","true","false"
"324N5FAHSX56AGMIBYL2ITEPM3FVKT","31R230RZ7RH392G6IXRAPV0N77C8LG","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Wed Jul 17 13:20:43 PDT 2024","32","BatchId:5240732;OriginalHitTemplateId:928390828;","600","259200","Wed Jul 24 13:20:43 PDT 2024","","","36WLNQG7804R2MUW0XO17635DIUEBR","AL6TUFYAMT6U4","Approved","Wed Jul 17 15:57:09 PDT 2024","Wed Jul 17 16:00:06 PDT 2024","Sat Jul 20 16:00:06 PDT 2024","Wed Jul 17 17:24:23 PDT 2024","","","177","100% (4/4)","100% (4/4)","100% (4/4)","https://www.cs.umb.edu/~srikark/selected_videos/e918b859ee_3.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_17.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7a393124cb_1.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c8c00639ec_21.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_38.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e5124f7ead_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/068371806d_41.mp4","https://www.cs.umb.edu/~srikark/selected_videos/8672769492_49.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e4ec916c5d_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/2197da9321_19.mp4","35","false","true","false","false","false","true","false","false","true","false","false","false","false","true","false","false","true","false","true","false","true","false","true","true","false","false","true"
"324N5FAHSX56AGMIBYL2ITEPM3FVKT","31R230RZ7RH392G6IXRAPV0N77C8LG","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Wed Jul 17 13:20:43 PDT 2024","32","BatchId:5240732;OriginalHitTemplateId:928390828;","600","259200","Wed Jul 24 13:20:43 PDT 2024","","","37Q970SNZF2RZ7HMZVFHQBUBSXYS19","A3CAF7LTD3ORSG","Approved","Wed Jul 17 14:20:24 PDT 2024","Wed Jul 17 14:23:26 PDT 2024","Sat Jul 20 14:23:26 PDT 2024","Wed Jul 17 14:36:06 PDT 2024","","","182","100% (18/18)","100% (18/18)","100% (18/18)","https://www.cs.umb.edu/~srikark/selected_videos/e918b859ee_3.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_17.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7a393124cb_1.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c8c00639ec_21.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_38.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e5124f7ead_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/068371806d_41.mp4","https://www.cs.umb.edu/~srikark/selected_videos/8672769492_49.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e4ec916c5d_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/2197da9321_19.mp4","50","false","true","false","false","false","true","false","false","false","false","false","false","true","true","false","false","true","true","false","true","false","true","false","true","false","false","true"
"324N5FAHSX56AGMIBYL2ITEPM3FVKT","31R230RZ7RH392G6IXRAPV0N77C8LG","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Wed Jul 17 13:20:43 PDT 2024","32","BatchId:5240732;OriginalHitTemplateId:928390828;","600","259200","Wed Jul 24 13:20:43 PDT 2024","","","37WLF8U1WQKOIA5B0SIWULUIJEP6KS","A1IU5OP7BBZHZ7","Approved","Wed Jul 17 16:29:38 PDT 2024","Wed Jul 17 16:34:05 PDT 2024","Sat Jul 20 16:34:05 PDT 2024","Wed Jul 17 17:24:23 PDT 2024","","","267","100% (30/30)","100% (30/30)","100% (30/30)","https://www.cs.umb.edu/~srikark/selected_videos/e918b859ee_3.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_17.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7a393124cb_1.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c8c00639ec_21.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_38.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e5124f7ead_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/068371806d_41.mp4","https://www.cs.umb.edu/~srikark/selected_videos/8672769492_49.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e4ec916c5d_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/2197da9321_19.mp4","55","false","true","false","false","false","true","false","false","true","false","false","false","false","false","true","true","false","true","false","true","false","true","false","true","false","false","true"
"324N5FAHSX56AGMIBYL2ITEPM3FVKT","31R230RZ7RH392G6IXRAPV0N77C8LG","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Wed Jul 17 13:20:43 PDT 2024","32","BatchId:5240732;OriginalHitTemplateId:928390828;","600","259200","Wed Jul 24 13:20:43 PDT 2024","","","39N5ACM9HFHCBK4PBRQGAC7J3QH9PN","A314XJY8V1YL12","Approved","Wed Jul 17 16:54:00 PDT 2024","Wed Jul 17 16:59:40 PDT 2024","Sat Jul 20 16:59:40 PDT 2024","Wed Jul 17 17:24:23 PDT 2024","","","340","100% (29/29)","100% (27/27)","100% (27/27)","https://www.cs.umb.edu/~srikark/selected_videos/e918b859ee_3.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_17.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7a393124cb_1.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c8c00639ec_21.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_38.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e5124f7ead_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/068371806d_41.mp4","https://www.cs.umb.edu/~srikark/selected_videos/8672769492_49.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e4ec916c5d_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/2197da9321_19.mp4","52","true","false","false","false","false","true","false","false","false","false","false","false","true","true","false","false","true","true","false","false","true","true","false","true","false","false","true"
"324N5FAHSX56AGMIBYL2ITEPM3FVKT","31R230RZ7RH392G6IXRAPV0N77C8LG","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Wed Jul 17 13:20:43 PDT 2024","32","BatchId:5240732;OriginalHitTemplateId:928390828;","600","259200","Wed Jul 24 13:20:43 PDT 2024","","","3DBQWDE4Y7ST7CQ0SM07U7XMHDQN53","A1S88VQY8G8CNC","Approved","Wed Jul 17 14:12:23 PDT 2024","Wed Jul 17 14:13:45 PDT 2024","Sat Jul 20 14:13:45 PDT 2024","Wed Jul 17 14:36:05 PDT 2024","","","82","100% (33/33)","100% (33/33)","100% (33/33)","https://www.cs.umb.edu/~srikark/selected_videos/e918b859ee_3.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_17.mp4","https://www.cs.umb.edu/~srikark/selected_videos/7a393124cb_1.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c8c00639ec_21.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f30a397b0c_38.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e5124f7ead_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/068371806d_41.mp4","https://www.cs.umb.edu/~srikark/selected_videos/8672769492_49.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e4ec916c5d_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/2197da9321_19.mp4","68","false","true","false","false","false","true","false","false","false","false","false","false","true","true","false","false","true","true","false","false","true","true","false","true","false","false","true"
