"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.extroversion_video1","Input.extroversion_video2","Input.neuroticism_video1","Input.neuroticism_video2","Input.agreeableness_video1","Input.agreeableness_video2","Input.conscientiousness_video1","Input.conscientiousness_video2","Input.openness_video1","Input.openness_video2","Answer.h11","Answer.h12.Female","Answer.h12.Male","Answer.h12.Other","Answer.h12.Prefer not to say","Answer.h13.Hispanic or Latino","Answer.h13.Not Hispanic or Latino","Answer.h13.Prefer not to say","Answer.h14.American Indian or Alaska Native","Answer.h14.Asian","Answer.h14.Black or African American","Answer.h14.Native Hawaiian or Other Pacific Islander","Answer.h14.Prefer not to say","Answer.h14.White","Answer.hA.left","Answer.hA.right","Answer.hC.left","Answer.hC.right","Answer.hE.left","Answer.hE.right","Answer.hN.left","Answer.hN.right","Answer.hO.left","Answer.hO.right","Answer.hTLeft.left","Answer.hTLeft.right","Answer.hTRight.left","Answer.hTRight.right","Approve","Reject"
"33N1S8XHHMFLDZ564L4NYKVM1961ZJ","3H6GKE2852V7SWMT2QVRXQNVK451E2","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Thu Jul 18 16:01:35 PDT 2024","6","BatchId:5241137;OriginalHitTemplateId:928390828;","600","259200","Thu Jul 25 16:01:35 PDT 2024","","","3WS1NTTKEZ6IODRIXSBI57SMZPY0FG","A32UE0WDFAUWBE","Submitted","Thu Jul 18 16:11:12 PDT 2024","Thu Jul 18 16:12:49 PDT 2024","Sun Jul 21 16:12:49 PDT 2024","","","","97","100% (7/7)","100% (6/6)","100% (6/6)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","35","false","true","false","false","true","false","false","false","false","false","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","false","true"
"33N1S8XHHMFLDZ564L4NYKVM1961ZJ","3H6GKE2852V7SWMT2QVRXQNVK451E2","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Thu Jul 18 16:01:35 PDT 2024","6","BatchId:5241137;OriginalHitTemplateId:928390828;","600","259200","Thu Jul 25 16:01:35 PDT 2024","","","3NGI5ARFTUZUMF1U7EBNV6P06N51P1","AHXCMJUY4KI4C","Submitted","Thu Jul 18 16:43:27 PDT 2024","Thu Jul 18 16:45:14 PDT 2024","Sun Jul 21 16:45:14 PDT 2024","","","","107","100% (4/4)","100% (3/3)","100% (3/3)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","35","false","true","false","false","false","true","false","false","true","false","false","false","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true"
"33N1S8XHHMFLDZ564L4NYKVM1961ZJ","3H6GKE2852V7SWMT2QVRXQNVK451E2","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Thu Jul 18 16:01:35 PDT 2024","6","BatchId:5241137;OriginalHitTemplateId:928390828;","600","259200","Thu Jul 25 16:01:35 PDT 2024","","","3UXUOQ9OKFR1AXAU7BAZ6LRIAN97AS","A3OZ8KF0HWSVWK","Submitted","Thu Jul 18 16:53:16 PDT 2024","Thu Jul 18 16:58:30 PDT 2024","Sun Jul 21 16:58:30 PDT 2024","","","","314","0% (0/0)","0% (0/0)","0% (0/0)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","35","false","true","false","false","false","true","false","false","false","false","false","false","true","false","true","true","false","true","false","true","false","true","false","true","false","false","true"
"33N1S8XHHMFLDZ564L4NYKVM1961ZJ","3H6GKE2852V7SWMT2QVRXQNVK451E2","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Thu Jul 18 16:01:35 PDT 2024","6","BatchId:5241137;OriginalHitTemplateId:928390828;","600","259200","Thu Jul 25 16:01:35 PDT 2024","","","33C7UALJVMS9GN2DLX9C9KUAHDB81U","A31Z5TPD8QKE26","Submitted","Thu Jul 18 17:10:23 PDT 2024","Thu Jul 18 17:13:16 PDT 2024","Sun Jul 21 17:13:16 PDT 2024","","","","173","100% (2/2)","0% (0/0)","0% (0/0)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","39","false","true","false","false","false","true","false","false","false","false","false","false","true","true","false","true","false","true","false","false","true","true","false","true","false","false","true"
"33N1S8XHHMFLDZ564L4NYKVM1961ZJ","3H6GKE2852V7SWMT2QVRXQNVK451E2","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Thu Jul 18 16:01:35 PDT 2024","6","BatchId:5241137;OriginalHitTemplateId:928390828;","600","259200","Thu Jul 25 16:01:35 PDT 2024","","","3N8OEVH1FSKXX7WUYGWJI2XIPTPOO0","A1IZ4NX41GKU4X","Rejected","Thu Jul 18 17:15:30 PDT 2024","Thu Jul 18 17:16:44 PDT 2024","Sun Jul 21 17:16:44 PDT 2024","","Thu Jul 18 17:34:45 PDT 2024","Failed attention test","74","2% (1/66)","2% (1/65)","2% (1/65)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","35","false","true","false","false","true","false","false","false","false","true","false","false","false","true","false","true","false","true","false","true","false","true","false","true","false","false","true"
"33N1S8XHHMFLDZ564L4NYKVM1961ZJ","3H6GKE2852V7SWMT2QVRXQNVK451E2","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Thu Jul 18 16:01:35 PDT 2024","6","BatchId:5241137;OriginalHitTemplateId:928390828;","600","259200","Thu Jul 25 16:01:35 PDT 2024","","","3WSELTNVR4WO8V71KED0BHJ0ZK8TAY","ASWZO1WY1UHEP","Submitted","Thu Jul 18 17:52:34 PDT 2024","Thu Jul 18 17:54:28 PDT 2024","Sun Jul 21 17:54:28 PDT 2024","","","","114","100% (14/14)","100% (13/13)","100% (13/13)","https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_78.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_71.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_50.mp4","https://www.cs.umb.edu/~srikark/selected_videos/95a8d39321_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_23.mp4","https://www.cs.umb.edu/~srikark/selected_videos/178581d0ed_22.mp4","37","false","true","false","false","false","true","false","false","true","false","false","false","false","true","false","true","false","true","false","false","true","true","false","true","false","false","true"
"3O0M2G5VC6WNZ7KCN5TQJU0WYQR49J","3H6GKE2852V7SWMT2QVRXQNVK451E2","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Thu Jul 18 16:01:35 PDT 2024","6","BatchId:5241137;OriginalHitTemplateId:928390828;","600","259200","Thu Jul 25 16:01:35 PDT 2024","","","32RIADZISTY8R6E5MDYJO91E5R74SI","A3O81LHBBI8NPK","Submitted","Thu Jul 18 16:02:04 PDT 2024","Thu Jul 18 16:05:01 PDT 2024","Sun Jul 21 16:05:01 PDT 2024","","","","177","100% (13/13)","100% (12/12)","100% (12/12)","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_11.mp4","https://www.cs.umb.edu/~srikark/selected_videos/399374e32d_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/faf57b8b8a_4.mp4","https://www.cs.umb.edu/~srikark/selected_videos/9d22732682_30.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dabac09516_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_62.mp4","https://www.cs.umb.edu/~srikark/selected_videos/a6a618dc02_1.mp4","40","true","false","false","false","false","true","false","false","false","false","false","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true"
"3O0M2G5VC6WNZ7KCN5TQJU0WYQR49J","3H6GKE2852V7SWMT2QVRXQNVK451E2","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Thu Jul 18 16:01:35 PDT 2024","6","BatchId:5241137;OriginalHitTemplateId:928390828;","600","259200","Thu Jul 25 16:01:35 PDT 2024","","","3IO1LGZLKAR4N93AR3LT4GLRPO7686","A29VL3MZE7YPBZ","Submitted","Thu Jul 18 16:12:28 PDT 2024","Thu Jul 18 16:15:00 PDT 2024","Sun Jul 21 16:15:00 PDT 2024","","","","152","100% (1/1)","0% (0/0)","0% (0/0)","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_11.mp4","https://www.cs.umb.edu/~srikark/selected_videos/399374e32d_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/faf57b8b8a_4.mp4","https://www.cs.umb.edu/~srikark/selected_videos/9d22732682_30.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dabac09516_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_62.mp4","https://www.cs.umb.edu/~srikark/selected_videos/a6a618dc02_1.mp4","42","true","false","false","false","false","true","false","false","false","false","false","false","true","true","false","false","true","true","false","false","true","true","false","true","false","false","true"
"3O0M2G5VC6WNZ7KCN5TQJU0WYQR49J","3H6GKE2852V7SWMT2QVRXQNVK451E2","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Thu Jul 18 16:01:35 PDT 2024","6","BatchId:5241137;OriginalHitTemplateId:928390828;","600","259200","Thu Jul 25 16:01:35 PDT 2024","","","3WR9XG3T645M88UDYA08TI5IID774B","A1IZ4NX41GKU4X","Rejected","Thu Jul 18 16:30:58 PDT 2024","Thu Jul 18 16:32:13 PDT 2024","Sun Jul 21 16:32:13 PDT 2024","","Thu Jul 18 17:34:46 PDT 2024","Failed attention test","75","2% (1/66)","2% (1/65)","2% (1/65)","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_11.mp4","https://www.cs.umb.edu/~srikark/selected_videos/399374e32d_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/faf57b8b8a_4.mp4","https://www.cs.umb.edu/~srikark/selected_videos/9d22732682_30.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dabac09516_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_62.mp4","https://www.cs.umb.edu/~srikark/selected_videos/a6a618dc02_1.mp4","35","false","true","false","false","true","false","false","false","false","true","false","false","false","false","true","true","false","false","true","false","true","true","false","true","false","false","true"
"3O0M2G5VC6WNZ7KCN5TQJU0WYQR49J","3H6GKE2852V7SWMT2QVRXQNVK451E2","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.20","Thu Jul 18 16:01:35 PDT 2024","6","BatchId:5241137;OriginalHitTemplateId:928390828;","600","259200","Thu Jul 25 16:01:35 PDT 2024","","","3MTMREQS4WCG0CBVFJIBY1QZ3EDAWS","A2KJ983WWTEK4L","Submitted","Thu Jul 18 16:39:56 PDT 2024","Thu Jul 18 16:42:11 PDT 2024","Sun Jul 21 16:42:11 PDT 2024","","","","135","98% (64/65)","98% (62/63)","98% (62/63)","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_11.mp4","https://www.cs.umb.edu/~srikark/selected_videos/399374e32d_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/faf57b8b8a_4.mp4","https://www.cs.umb.edu/~srikark/selected_videos/9d22732682_30.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dabac09516_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4","https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_6.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_62.mp4","https://www.cs.umb.edu/~srikark/selected_videos/a6a618dc02_1.mp4","59","false","true","false","false","false","true","false","false","true","false","false","false","false","true","false","true","false","false","true","true","false","false","true","true","false","false","true"
