video,trait,selectedCnt,totalCnt
f5853adc98_4.mp4,o,4,4
dfbe16e76b_6.mp4,o,0,14
50a13bf3e8_4.mp4,c,3,4
d471c3cc18_16.mp4,c,1,4
a1efe8642e_4.mp4,e,0,4
0ebcafdc7c_27.mp4,e,4,4
0e90f800ce_17.mp4,a,7,18
7bd0303cc6_21.mp4,a,1,4
7a393124cb_19.mp4,n,1,4
dfbe16e76b_43.mp4,n,5,9
2630e932f0_36.mp4,o,17,29
e388d3c0f1_2.mp4,o,4,5
e3a65645cf_6.mp4,c,0,5
7bd0303cc6_11.mp4,c,5,5
84125c414e_14.mp4,e,17,19
8672769492_58.mp4,e,0,5
178581d0ed_17.mp4,a,1,5
720fccf6b1_49.mp4,a,4,5
3eeda30ea0_18.mp4,n,0,5
5990ff1239_31.mp4,n,5,5
4fdabf2807_2.mp4,o,5,5
4fdf48c5b7_23.mp4,c,16,19
7770f52caa_1.mp4,c,0,5
e8de8bb4d0_22.mp4,e,5,5
d858a95536_11.mp4,e,0,5
f1d34d8f6a_1.mp4,a,0,5
53f9b0471a_10.mp4,a,5,5
429cca71a9_6.mp4,n,2,5
dfbe16e76b_3.mp4,n,8,10
b5fc108b5d_8.mp4,o,1,5
2630e932f0_71.mp4,o,25,39
0ebcafdc7c_5.mp4,c,3,5
2db735a1d8_14.mp4,c,2,5
ad46005343_1.mp4,e,14,20
d858a95536_57.mp4,e,0,5
4274b5c7b4_5.mp4,a,4,5
9369d89203_4.mp4,a,1,5
4fdf48c5b7_49.mp4,n,4,5
540c0cba0a_36.mp4,n,1,5
2598d31ae3_7.mp4,o,2,5
4cb2b138db_2.mp4,c,1,5
0a368dff45_26.mp4,c,4,5
b8a4c17fbe_10.mp4,e,4,5
d858a95536_81.mp4,e,2,10
dfbe16e76b_41.mp4,a,3,10
21a3ee3f47_15.mp4,a,8,10
0e90f800ce_51.mp4,n,3,5
ef2f7d7dbf_75.mp4,n,2,5
2630e932f0_48.mp4,o,4,5
f30a397b0c_30.mp4,o,1,5
9471a6fc08_4.mp4,c,5,5
04ce952d75_53.mp4,c,0,5
1ffcdc3b90_4.mp4,e,2,5
4d1a00e372_67.mp4,a,8,9
dfbe16e76b_30.mp4,a,1,5
40bb63a7fd_7.mp4,n,0,5
0e90f800ce_5.mp4,n,5,5
2630e932f0_47.mp4,o,20,29
2630e932f0_63.mp4,o,3,5
1e93810269_12.mp4,c,1,5
d858a95536_27.mp4,c,4,5
8672769492_40.mp4,e,4,5
049dbc8289_60.mp4,a,3,5
7c64f6cfe4_13.mp4,a,2,5
4fdf48c5b7_40.mp4,n,13,20
400f09a2d4_10.mp4,n,1,5
3d6139bba9_9.mp4,o,4,5
2d3a17b517_23.mp4,o,11,44
4fdf48c5b7_10.mp4,c,9,10
d858a95536_40.mp4,c,1,5
068371806d_37.mp4,e,4,10
d858a95536_21.mp4,e,2,5
1a0f97af1e_11.mp4,a,3,5
7bd0303cc6_89.mp4,a,2,5
53f9b0471a_10.mp4,n,3,5
d88213a113_5.mp4,n,2,5
0e90f800ce_7.mp4,o,1,5
d88213a113_13.mp4,o,6,10
191440ca5c_8.mp4,c,7,10
446caa6f5f_42.mp4,c,1,5
a2dd854c9c_20.mp4,e,5,5
d858a95536_51.mp4,e,0,5
a09347dde8_1.mp4,a,3,5
e360674f8b_25.mp4,a,2,5
800ea6fc4a_12.mp4,n,1,5
4d1a00e372_43.mp4,n,4,5
867fdcccc1_3.mp4,o,2,5
ee966ce916_17.mp4,o,3,5
720fccf6b1_28.mp4,c,2,5
dfbe16e76b_7.mp4,c,7,9
4d1a00e372_33.mp4,e,0,5
4f2dda223f_12.mp4,e,7,10
b455f02826_4.mp4,a,3,5
1a0f97af1e_52.mp4,a,2,5
82ab936b7a_5.mp4,n,3,5
b2f72bb343_3.mp4,n,2,5
dfbe16e76b_16.mp4,o,1,5
acb1aa28ab_15.mp4,c,0,5
4fdf48c5b7_24.mp4,c,9,10
36348f998e_9.mp4,e,2,5
9928319982_7.mp4,e,3,5
0e90f800ce_51.mp4,a,2,10
86410175f1_14.mp4,a,4,5
0a6455dbb0_51.mp4,n,0,5
dabac09516_5.mp4,n,5,5
7bd0303cc6_67.mp4,o,2,5
2630e932f0_8.mp4,o,21,30
d858a95536_49.mp4,c,2,15
2d2593a005_2.mp4,c,3,5
e78f9ed094_27.mp4,e,1,5
e4ec916c5d_6.mp4,e,4,5
2cb5b3df8d_28.mp4,a,1,5
dfbe16e76b_8.mp4,a,4,5
40bb63a7fd_61.mp4,n,3,10
dfbe16e76b_24.mp4,n,11,14
6474d3ca38_22.mp4,o,3,5
222c522dd4_28.mp4,o,3,10
4fdf48c5b7_6.mp4,c,10,10
d858a95536_19.mp4,e,0,5
8c8de3ceb3_8.mp4,e,5,5
f410feada7_7.mp4,a,4,5
2cb5b3df8d_52.mp4,a,1,5
6df776419c_18.mp4,n,1,5
323d340cd3_16.mp4,n,4,5
f5853adc98_45.mp4,o,2,5
2630e932f0_36.mp4,c,9,20
f0df37c7c2_3.mp4,c,3,5
720fccf6b1_7.mp4,e,2,5
e8de8bb4d0_24.mp4,e,3,5
3c4a508a2b_2.mp4,a,2,5
dfbe16e76b_13.mp4,a,5,10
f3dee66e8b_29.mp4,n,3,5
0e90f800ce_24.mp4,n,2,5
d858a95536_56.mp4,c,0,5
0014697d89_8.mp4,e,2,5
720fccf6b1_68.mp4,e,3,5
049dbc8289_49.mp4,a,3,5
5990ff1239_7.mp4,a,2,5
0e90f800ce_4.mp4,n,3,10
b056ba1559_2.mp4,o,4,5
d858a95536_106.mp4,o,1,5
84125c414e_14.mp4,c,2,5
4c08eeaf99_106.mp4,c,3,5
720fccf6b1_66.mp4,e,1,5
6474d3ca38_8.mp4,e,4,5
0e90f800ce_3.mp4,a,3,9
9471a6fc08_2.mp4,a,3,5
f5853adc98_32.mp4,n,2,5
720fccf6b1_27.mp4,n,3,5
f30a397b0c_36.mp4,o,3,4
2630e932f0_49.mp4,c,0,4
0b1b1a67eb_25.mp4,c,4,4
4c08eeaf99_32.mp4,e,2,4
858997d38f_1.mp4,e,2,4
dfbe16e76b_31.mp4,a,2,4
4c08eeaf99_104.mp4,a,2,4
178581d0ed_20.mp4,n,0,4
0e90f800ce_9.mp4,n,9,9
63ace98df3_1.mp4,o,4,9
1537579da5_5.mp4,c,4,4
e893ca6146_9.mp4,c,0,4
4c08eeaf99_28.mp4,e,3,4
d858a95536_33.mp4,e,1,4
0a6455dbb0_123.mp4,a,0,4
0e90f800ce_19.mp4,n,8,14
8ef33e0102_10.mp4,n,4,9
2d3a17b517_7.mp4,o,3,4
5f94648651_4.mp4,o,1,4
b15da5f794_4.mp4,c,4,4
540c0cba0a_47.mp4,c,0,4
2457d01ae7_45.mp4,e,2,4
db8c3db135_11.mp4,e,69,111
4cb2b138db_3.mp4,a,1,4
40bb63a7fd_42.mp4,a,4,9
dfbe16e76b_30.mp4,n,6,9
800ea6fc4a_7.mp4,n,0,4
c651eb1676_26.mp4,o,3,10
4d1a00e372_61.mp4,o,11,15
dad8f52d67_20.mp4,c,5,5
8c8de3ceb3_13.mp4,e,4,5
2065891685_5.mp4,e,1,5
0601b6267e_12.mp4,a,3,5
6ae748905c_1.mp4,a,2,5
0014697d89_17.mp4,n,4,5
458df279ec_3.mp4,n,3,10
e918b859ee_20.mp4,o,5,5
99a718fbeb_7.mp4,o,0,5
dfbe16e76b_25.mp4,c,1,5
4f2dda223f_5.mp4,e,5,5
0569fa067c_3.mp4,e,0,5
6e8b99814c_24.mp4,a,3,5
1537579da5_8.mp4,a,2,5
0a6455dbb0_30.mp4,n,1,5
2065891685_5.mp4,n,5,10
7d3e7dcfc7_25.mp4,o,3,5
84fecd8025_10.mp4,o,2,5
acb1aa28ab_9.mp4,c,2,5
90fa235810_2.mp4,e,0,5
446caa6f5f_22.mp4,e,10,10
d471c3cc18_12.mp4,a,4,5
0e90f800ce_7.mp4,a,3,10
540c0cba0a_149.mp4,n,1,5
b2f72bb343_17.mp4,n,4,5
4fdabf2807_19.mp4,o,3,5
720fccf6b1_76.mp4,o,4,10
8d0ee9e27f_19.mp4,c,1,5
f3dee66e8b_1.mp4,e,4,5
068371806d_18.mp4,e,1,5
dfbe16e76b_42.mp4,a,2,5
c8c00639ec_46.mp4,a,3,5
0e90f800ce_11.mp4,n,3,5
99a718fbeb_9.mp4,n,2,5
7bd0303cc6_14.mp4,o,1,5
dfbe16e76b_41.mp4,c,2,5
9c0546b173_1.mp4,e,0,5
8672769492_5.mp4,a,3,5
1ffcdc3b90_19.mp4,a,2,5
0b1b1a67eb_13.mp4,n,5,5
0a6455dbb0_77.mp4,n,0,5
0a6455dbb0_82.mp4,o,1,5
2630e932f0_62.mp4,o,25,34
3065b7b574_17.mp4,c,2,5
0ebcafdc7c_15.mp4,c,3,5
4274b5c7b4_83.mp4,e,6,10
15b660a496_13.mp4,a,3,5
21ad80e26e_13.mp4,n,3,5
df2b112a9a_6.mp4,o,1,5
0a368dff45_30.mp4,c,1,10
7ca6b24a30_4.mp4,c,4,5
c1805aaff8_1.mp4,e,5,5
6e8b99814c_9.mp4,e,0,5
63d4150e21_5.mp4,a,4,5
7bd0303cc6_2.mp4,a,1,5
dfbe16e76b_44.mp4,n,2,5
0e90f800ce_3.mp4,n,3,5
154ece9b23_16.mp4,o,4,5
53f9b0471a_5.mp4,o,1,5
9928319982_21.mp4,c,4,5
400f09a2d4_29.mp4,c,1,5
34525d0742_17.mp4,e,3,5
7072033f78_1.mp4,e,2,5
7bd0303cc6_58.mp4,a,3,5
0e90f800ce_14.mp4,a,4,10
068371806d_4.mp4,n,3,5
40bb63a7fd_27.mp4,n,2,5
b060020015_10.mp4,o,0,5
9928319982_9.mp4,c,2,10
9d22732682_33.mp4,c,4,5
dfbe16e76b_3.mp4,a,3,5
09044899e9_3.mp4,a,2,5
3aabfe0590_14.mp4,n,3,5
86410175f1_20.mp4,n,2,5
f1d34d8f6a_11.mp4,o,7,14
1a0f97af1e_54.mp4,c,5,5
e893ca6146_1.mp4,c,0,5
62c05bb425_13.mp4,e,1,5
d858a95536_70.mp4,e,4,5
df2b112a9a_1.mp4,a,2,5
82ab936b7a_17.mp4,a,3,5
068371806d_24.mp4,n,4,5
81ef830580_17.mp4,n,1,5
7072033f78_2.mp4,o,3,5
acb1aa28ab_3.mp4,o,2,5
98040a6a3b_6.mp4,c,1,5
eb87c332e2_25.mp4,e,2,5
5990ff1239_21.mp4,a,8,10
abbac10d03_9.mp4,n,4,5
0e90f800ce_6.mp4,n,4,9
9369d89203_9.mp4,o,1,5
d858a95536_70.mp4,c,7,20
1b3d1fb598_13.mp4,c,4,5
0a6455dbb0_73.mp4,e,3,5
faf57b8b8a_4.mp4,a,3,5
222c522dd4_25.mp4,n,9,10
446caa6f5f_82.mp4,o,3,10
d858a95536_31.mp4,c,2,5
eb87c332e2_5.mp4,c,3,5
0569fa067c_2.mp4,e,1,10
54e727b94e_10.mp4,e,5,5
f1f80e5aa0_12.mp4,a,4,5
049dbc8289_24.mp4,a,1,5
4c08eeaf99_83.mp4,n,2,5
4fdf48c5b7_41.mp4,n,3,5
396d13c339_3.mp4,o,7,15
f7c3f8989b_38.mp4,o,5,5
0b1b1a67eb_26.mp4,c,3,5
d858a95536_43.mp4,c,2,5
59b679006a_4.mp4,e,1,5
1e93810269_6.mp4,a,3,5
c651eb1676_29.mp4,a,2,5
068371806d_1.mp4,n,1,5
e8477b04ec_58.mp4,n,4,5
4fdf48c5b7_43.mp4,o,2,5
8c8de3ceb3_47.mp4,c,3,5
c8c00639ec_39.mp4,e,3,5
4fdf48c5b7_49.mp4,a,4,5
800ea6fc4a_12.mp4,a,1,5
4274b5c7b4_7.mp4,n,1,5
5990ff1239_9.mp4,n,4,5
0a6455dbb0_96.mp4,o,3,5
c8c00639ec_48.mp4,c,1,5
9928319982_6.mp4,c,4,5
e8de8bb4d0_8.mp4,e,2,5
6ae748905c_4.mp4,e,3,5
446caa6f5f_14.mp4,a,1,5
5990ff1239_21.mp4,n,12,15
21a3ee3f47_11.mp4,n,2,5
2630e932f0_37.mp4,o,4,4
0a368dff45_30.mp4,o,0,4
2457d01ae7_16.mp4,c,0,4
4fdf48c5b7_69.mp4,e,0,9
e78f9ed094_9.mp4,e,4,4
d8367d3dac_2.mp4,a,3,4
7bd0303cc6_45.mp4,a,1,4
dfbe16e76b_40.mp4,n,1,4
ef2f7d7dbf_43.mp4,o,5,15
156f806a6c_4.mp4,c,3,5
f1f80e5aa0_11.mp4,c,2,5
d858a95536_132.mp4,e,1,5
720fccf6b1_94.mp4,e,8,10
1e93810269_19.mp4,a,3,5
7bd0303cc6_48.mp4,a,2,5
95a8d39321_6.mp4,n,3,5
