Input.extroversion_video1,Input.extroversion_video2,Input.neuroticism_video1,Input.neuroticism_video2,Input.agreeableness_video1,Input.agreeableness_video2,Input.conscientiousness_video1,Input.conscientiousness_video2,Input.openness_video1,Input.openness_video2,WorkerId,Answer.hO.left,Answer.hO.right,Answer.hC.left,Answer.hC.right,Answer.hE.left,Answer.hE.right,Answer.hA.left,Answer.hO.right,Answer.hO.left,Answer.hA.right,Answer.hN.left,Answer.hN.right,Answer.hTLeft.left,Answer.hTRight.right
https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4,https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4,A3TUMZ954ORSUC,False,True,False,True,False,True,False,True,False,True,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4,https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4,A2J237J8KM3OCS,True,False,False,True,False,True,True,False,True,False,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4,https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4,A1NF6PELRKACS9,True,False,False,True,True,False,False,False,True,True,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4,https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4,A26MRON9XGPVB5,False,True,False,True,False,True,True,True,False,False,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/8672769492_58.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f7c3f8989b_22.mp4,https://www.cs.umb.edu/~srikark/selected_videos/ca8d046ddd_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b056ba1559_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9928319982_18.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dad8f52d67_21.mp4,https://www.cs.umb.edu/~srikark/selected_videos/049dbc8289_76.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e3a65645cf_13.mp4,A26V8QMPU25JGC,True,False,False,True,False,True,True,False,True,False,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/8672769492_58.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f7c3f8989b_22.mp4,https://www.cs.umb.edu/~srikark/selected_videos/ca8d046ddd_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b056ba1559_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9928319982_18.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dad8f52d67_21.mp4,https://www.cs.umb.edu/~srikark/selected_videos/049dbc8289_76.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e3a65645cf_13.mp4,A3TUMZ954ORSUC,False,True,False,True,False,True,False,True,False,True,False,True,True,True
https://www.cs.umb.edu/~srikark/selected_videos/8672769492_58.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f7c3f8989b_22.mp4,https://www.cs.umb.edu/~srikark/selected_videos/ca8d046ddd_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b056ba1559_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9928319982_18.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dad8f52d67_21.mp4,https://www.cs.umb.edu/~srikark/selected_videos/049dbc8289_76.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e3a65645cf_13.mp4,A2J237J8KM3OCS,False,True,False,True,True,False,False,True,False,True,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/8672769492_58.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f7c3f8989b_22.mp4,https://www.cs.umb.edu/~srikark/selected_videos/ca8d046ddd_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b056ba1559_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9928319982_18.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dad8f52d67_21.mp4,https://www.cs.umb.edu/~srikark/selected_videos/049dbc8289_76.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e3a65645cf_13.mp4,A26MRON9XGPVB5,True,False,False,True,True,False,False,False,True,True,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/8672769492_58.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f7c3f8989b_22.mp4,https://www.cs.umb.edu/~srikark/selected_videos/ca8d046ddd_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/61476146da_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b056ba1559_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9928319982_18.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dad8f52d67_21.mp4,https://www.cs.umb.edu/~srikark/selected_videos/049dbc8289_76.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e3a65645cf_13.mp4,A1NF6PELRKACS9,True,False,True,False,True,False,True,False,True,False,True,False,True,True
https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_21.mp4,https://www.cs.umb.edu/~srikark/selected_videos/446caa6f5f_77.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/6a10f8759a_36.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_16.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0e90f800ce_22.mp4,https://www.cs.umb.edu/~srikark/selected_videos/9928319982_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7770f52caa_1.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b060020015_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/25544b57d1_2.mp4,A26V8QMPU25JGC,True,False,True,False,True,False,True,False,True,False,True,False,True,True
