"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.extroversion_video1","Input.extroversion_video2","Input.extroversion_value1","Input.extroversion_value2","Input.neuroticism_video1","Input.neuroticism_video2","Input.neuroticism_value1","Input.neuroticism_value2","Input.agreeableness_video1","Input.agreeableness_video2","Input.agreeableness_value1","Input.agreeableness_value2","Input.conscientiousness_video1","Input.conscientiousness_video2","Input.conscientiousness_value1","Input.conscientiousness_value2","Input.openness_video1","Input.openness_video2","Input.openness_value1","Input.openness_value2","Answer.h11","Answer.h12.Female","Answer.h12.Male","Answer.h12.Other","Answer.h12.Prefer not to say","Answer.h13.Hispanic or Latino","Answer.h13.Not Hispanic or Latino","Answer.h13.Prefer not to say","Answer.h14.American Indian or Alaska Native","Answer.h14.Asian","Answer.h14.Black or African American","Answer.h14.Native Hawaiian or Other Pacific Islander","Answer.h14.Prefer not to say","Answer.h14.White","Answer.hA.left","Answer.hA.right","Answer.hC.left","Answer.hC.right","Answer.hE.left","Answer.hE.right","Answer.hN.left","Answer.hN.right","Answer.hO.left","Answer.hO.right","Answer.hTLeft.left","Answer.hTLeft.right","Answer.hTRight.left","Answer.hTRight.right","Approve","Reject"
"3I6NF2WGIGQKA0BKFGIAG3SX6GTG55","3ZKKG203TBH2O7ENEGEUIGQL92HYYC","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.10","Sat Jan 25 06:59:49 PST 2025","9","BatchId:5289304;OriginalHitTemplateId:928390828;","1200","259200","Sat Feb 01 06:59:49 PST 2025","","","3WETL7AQWU2M38XQA3GSLTZHUZC356","A1IU5OP7BBZHZ7","Rejected","Sat Jan 25 07:18:58 PST 2025","Sat Jan 25 07:22:57 PST 2025","Tue Jan 28 07:22:57 PST 2025","","Sat Jan 25 09:28:31 PST 2025","Failed attention check","239","59% (109/185)","51% (79/155)","0% (0/76)","https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4","0.25","0.5","https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4","1","0.5","https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4","0","0.75","https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4","0.25","0.75","https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4","1","0.25","56","false","true","false","false","false","true","false","false","true","false","false","false","false","true","false","false","true","false","true","true","false","true","false","true","false","false","true"
"3I6NF2WGIGQKA0BKFGIAG3SX6GTG55","3ZKKG203TBH2O7ENEGEUIGQL92HYYC","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.10","Sat Jan 25 06:59:49 PST 2025","9","BatchId:5289304;OriginalHitTemplateId:928390828;","1200","259200","Sat Feb 01 06:59:49 PST 2025","","","3TE3O857312MNDZ53AFQ5KZLG592RK","A2ZV821LZHVOHD","Rejected","Sat Jan 25 07:54:35 PST 2025","Sat Jan 25 07:56:30 PST 2025","Tue Jan 28 07:56:30 PST 2025","","Sat Jan 25 09:03:50 PST 2025","Failed attention check","115","7% (6/82)","3% (2/78)","0% (0/76)","https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4","0.25","0.5","https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4","1","0.5","https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4","0","0.75","https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4","0.25","0.75","https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4","1","0.25","35","true","false","false","false","true","false","false","false","true","false","false","false","false","true","false","true","false","false","true","true","false","false","true","true","false","false","true"
"3I6NF2WGIGQKA0BKFGIAG3SX6GTG55","3ZKKG203TBH2O7ENEGEUIGQL92HYYC","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.10","Sat Jan 25 06:59:49 PST 2025","9","BatchId:5289304;OriginalHitTemplateId:928390828;","1200","259200","Sat Feb 01 06:59:49 PST 2025","","","3DBQWDE4Y7ST7CQ0SM07U7XNZIIN5P","A272A0JGRTBFCR","Rejected","Sat Jan 25 07:57:55 PST 2025","Sat Jan 25 07:59:12 PST 2025","Tue Jan 28 07:59:12 PST 2025","","Sat Jan 25 09:27:35 PST 2025","Failed attention check","77","10% (9/86)","3% (2/79)","0% (0/77)","https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4","0.25","0.5","https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4","1","0.5","https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4","0","0.75","https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4","0.25","0.75","https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4","1","0.25","29","false","true","false","false","true","false","false","false","true","false","false","false","false","false","true","false","true","false","true","false","true","false","true","true","false","false","true"
"3I6NF2WGIGQKA0BKFGIAG3SX6GTG55","3ZKKG203TBH2O7ENEGEUIGQL92HYYC","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.10","Sat Jan 25 06:59:49 PST 2025","9","BatchId:5289304;OriginalHitTemplateId:928390828;","1200","259200","Sat Feb 01 06:59:49 PST 2025","","","3TMFV4NEP982HOIGILYX2AK5UMH8W1","A3QZMGTVA4VO44","Rejected","Sat Jan 25 08:23:27 PST 2025","Sat Jan 25 08:24:49 PST 2025","Tue Jan 28 08:24:49 PST 2025","","Sat Jan 25 09:29:42 PST 2025","Failed attention check","82","40% (34/84)","2% (1/51)","2% (1/51)","https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4","0.25","0.5","https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4","1","0.5","https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4","0","0.75","https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4","0.25","0.75","https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4","1","0.25","42","false","true","false","false","false","true","false","true","false","false","false","false","false","false","true","false","true","false","true","true","false","true","false","true","false","false","true"
"3I6NF2WGIGQKA0BKFGIAG3SX6GTG55","3ZKKG203TBH2O7ENEGEUIGQL92HYYC","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.10","Sat Jan 25 06:59:49 PST 2025","9","BatchId:5289304;OriginalHitTemplateId:928390828;","1200","259200","Sat Feb 01 06:59:49 PST 2025","","","3LKC68YZ3BX52G5WP2NTZWA59ROWOV","A3NL89ELRGO22X","Rejected","Sat Jan 25 08:25:10 PST 2025","Sat Jan 25 08:31:19 PST 2025","Tue Jan 28 08:31:19 PST 2025","","Sat Jan 25 09:26:35 PST 2025","Failed attention checks","369","0% (0/15)","0% (0/15)","0% (0/15)","https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4","0.25","0.5","https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4","1","0.5","https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4","0","0.75","https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4","0.25","0.75","https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4","1","0.25","41","true","false","false","false","false","true","false","false","false","false","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","false","true"
"3I6NF2WGIGQKA0BKFGIAG3SX6GTG55","3ZKKG203TBH2O7ENEGEUIGQL92HYYC","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.10","Sat Jan 25 06:59:49 PST 2025","9","BatchId:5289304;OriginalHitTemplateId:928390828;","1200","259200","Sat Feb 01 06:59:49 PST 2025","","","3S06PH7KSSYLXIY425KSVC8CA6R1D0","A3TUMZ954ORSUC","Approved","Sat Jan 25 09:50:07 PST 2025","Sat Jan 25 09:51:28 PST 2025","Tue Jan 28 09:51:28 PST 2025","Sat Jan 25 17:43:44 PST 2025","","","81","100% (84/84)","100% (80/80)","100% (80/80)","https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4","0.25","0.5","https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4","1","0.5","https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4","0","0.75","https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4","0.25","0.75","https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4","1","0.25","35","true","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","true","false","true","false","true","false","true","true","false","false","true"
"3I6NF2WGIGQKA0BKFGIAG3SX6GTG55","3ZKKG203TBH2O7ENEGEUIGQL92HYYC","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.10","Sat Jan 25 06:59:49 PST 2025","9","BatchId:5289304;OriginalHitTemplateId:928390828;","1200","259200","Sat Feb 01 06:59:49 PST 2025","","","3QY5DC2MXSEY4Z3YVZP2UEGUXHJUFK","A2J237J8KM3OCS","Approved","Sat Jan 25 10:10:08 PST 2025","Sat Jan 25 10:18:04 PST 2025","Tue Jan 28 10:18:04 PST 2025","Sat Jan 25 17:43:44 PST 2025","","","476","100% (86/86)","100% (76/76)","100% (75/75)","https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4","0.25","0.5","https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4","1","0.5","https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4","0","0.75","https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4","0.25","0.75","https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4","1","0.25","40","false","true","false","false","false","true","false","false","true","false","false","false","false","true","false","false","true","false","true","true","false","true","false","true","false","false","true"
"3I6NF2WGIGQKA0BKFGIAG3SX6GTG55","3ZKKG203TBH2O7ENEGEUIGQL92HYYC","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.10","Sat Jan 25 06:59:49 PST 2025","9","BatchId:5289304;OriginalHitTemplateId:928390828;","1200","259200","Sat Feb 01 06:59:49 PST 2025","","","339ANSOTR6W4BU0C2TRLROKOBXTKIE","A1NF6PELRKACS9","Approved","Sat Jan 25 13:47:46 PST 2025","Sat Jan 25 14:00:11 PST 2025","Tue Jan 28 14:00:11 PST 2025","Sat Jan 25 17:43:44 PST 2025","","","745","100% (77/77)","100% (12/12)","100% (12/12)","https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4","0.25","0.5","https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4","1","0.5","https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4","0","0.75","https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4","0.25","0.75","https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4","1","0.25","55","true","false","false","false","false","true","false","false","true","false","false","false","false","false","true","false","true","true","false","true","false","true","false","true","false","false","true"
"3I6NF2WGIGQKA0BKFGIAG3SX6GTG55","3ZKKG203TBH2O7ENEGEUIGQL92HYYC","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.10","Sat Jan 25 06:59:49 PST 2025","9","BatchId:5289304;OriginalHitTemplateId:928390828;","1200","259200","Sat Feb 01 06:59:49 PST 2025","","","3Z4XG4ZF49LH6ON6SQUJ4TYC4E88XW","A26MRON9XGPVB5","Approved","Sat Jan 25 14:51:45 PST 2025","Sat Jan 25 15:01:27 PST 2025","Tue Jan 28 15:01:27 PST 2025","Sat Jan 25 17:43:44 PST 2025","","","582","100% (24/24)","100% (24/24)","100% (24/24)","https://www.cs.umb.edu/~srikark/selected_videos/63d4150e21_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_7.mp4","0.25","0.5","https://www.cs.umb.edu/~srikark/selected_videos/5990ff1239_8.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c33dad9f29_16.mp4","1","0.5","https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_7.mp4","https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_138.mp4","0","0.75","https://www.cs.umb.edu/~srikark/selected_videos/b455f02826_2.mp4","https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_2.mp4","0.25","0.75","https://www.cs.umb.edu/~srikark/selected_videos/2630e932f0_37.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_25.mp4","1","0.25","40","false","true","false","false","false","true","false","false","false","false","false","false","true","true","false","false","true","false","true","true","false","false","true","true","false","false","true"
"36QZ6V158974LKAQBHKZDT3GT8GUSL","3ZKKG203TBH2O7ENEGEUIGQL92HYYC","Video Comparison","Compare personalities of people in videos","Research, personality, video","$0.10","Sat Jan 25 06:59:49 PST 2025","9","BatchId:5289304;OriginalHitTemplateId:928390828;","1200","259200","Sat Feb 01 06:59:49 PST 2025","","","37U1UTWH9WGX9S1UJRORFBCO22BR8G","A272A0JGRTBFCR","Rejected","Sat Jan 25 07:12:05 PST 2025","Sat Jan 25 07:14:27 PST 2025","Tue Jan 28 07:14:27 PST 2025","","Sat Jan 25 09:27:36 PST 2025","Failed attention check","142","10% (9/86)","3% (2/79)","0% (0/77)","https://www.cs.umb.edu/~srikark/selected_videos/8672769492_58.mp4","https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_3.mp4","0","0.5","https://www.cs.umb.edu/~srikark/selected_videos/f7c3f8989b_22.mp4","https://www.cs.umb.edu/~srikark/selected_videos/ca8d046ddd_1.mp4","0.25","1","https://www.cs.umb.edu/~srikark/selected_videos/61476146da_1.mp4","https://www.cs.umb.edu/~srikark/selected_videos/b056ba1559_3.mp4","0.75","0.5","https://www.cs.umb.edu/~srikark/selected_videos/9928319982_18.mp4","https://www.cs.umb.edu/~srikark/selected_videos/dad8f52d67_21.mp4","0.75","1","https://www.cs.umb.edu/~srikark/selected_videos/049dbc8289_76.mp4","https://www.cs.umb.edu/~srikark/selected_videos/e3a65645cf_13.mp4","0.5","0.75","29","false","true","false","false","true","false","false","false","true","false","false","false","false","true","false","false","true","true","false","true","false","false","true","false","true","true","false"
