File,extroversion,neuroticism,agreeableness,conscientiousness,openness
b9bf62905c_2.mp4,0.5,0.25,0.25,0.75,0.5
0b1b1a67eb_29.mp4,0.5,0.0,0.0,0.5,0.5
3aabfe0590_18.mp4,0.5,0.75,0.75,0.5,0.5
84125c414e_15.mp4,0.5,0.5,0.5,0.25,0.75
e3a40d1a75_54.mp4,0.25,0.0,0.0,0.25,0.5
81ef830580_76.mp4,0.5,0.5,0.5,0.5,0.5
40bb63a7fd_46.mp4,0.25,0.75,0.75,0.75,0.5
1680004fab_3.mp4,0.5,0.5,0.5,0.5,0.5
d101e676ba_10.mp4,0.5,0.25,0.25,0.5,0.75
eb87c332e2_13.mp4,0.5,0.25,0.25,0.5,0.5
4c08eeaf99_141.mp4,0.5,0.5,0.5,0.5,0.75
715fe6b19b_2.mp4,0.5,0.5,0.5,0.25,0.5
5783b084a8_2.mp4,0.75,0.75,0.75,0.75,0.75
0b1b1a67eb_15.mp4,0.25,0.5,0.5,0.5,0.5
4b08571b97_7.mp4,0.5,0.5,0.5,0.5,0.75
3aabfe0590_24.mp4,0.25,0.5,0.5,0.5,0.5
99ae4f4c9b_10.mp4,0.5,0.5,0.5,0.5,0.5
bfcf904423_1.mp4,0.5,0.5,0.5,0.5,0.5
c33dad9f29_5.mp4,0.5,0.5,0.5,0.5,0.5
e8477b04ec_11.mp4,0.25,0.5,0.5,0.25,0.5
2457d01ae7_16.mp4,0.25,0.25,0.25,0.0,0.5
0a368dff45_2.mp4,0.0,0.25,0.25,0.5,0.5
5990ff1239_19.mp4,0.5,0.75,0.75,0.75,0.75
4b8d550db2_32.mp4,0.5,0.5,0.5,0.5,0.5
4fdf48c5b7_48.mp4,0.5,0.5,0.5,0.75,0.25
4b8d550db2_26.mp4,0.5,0.5,0.5,0.5,0.5
a0d68ece5b_5.mp4,0.5,0.75,0.75,0.5,0.5
21ad80e26e_13.mp4,0.5,0.75,0.75,0.25,0.5
61476146da_23.mp4,0.5,0.5,0.5,0.5,0.5
17becab0e7_14.mp4,0.75,0.5,0.5,0.5,0.5
1efc90d19f_4.mp4,0.5,0.5,0.5,0.5,0.75
5990ff1239_25.mp4,0.5,0.75,0.75,0.25,0.75
e8477b04ec_39.mp4,0.5,0.5,0.5,0.25,0.5
5990ff1239_31.mp4,0.5,1.0,1.0,0.75,0.75
4fdf48c5b7_60.mp4,0.5,0.5,0.5,0.75,0.75
2db735a1d8_9.mp4,0.25,0.5,0.5,0.5,0.5
7a393124cb_15.mp4,0.5,0.5,0.5,0.5,0.75
95a8d39321_3.mp4,0.5,0.5,0.5,0.5,0.5
4f2dda223f_18.mp4,0.5,0.5,0.5,0.5,0.75
d858a95536_115.mp4,0.25,0.25,0.25,0.75,0.5
99a718fbeb_6.mp4,0.25,0.25,0.25,0.5,0.25
ef2f7d7dbf_39.mp4,0.5,0.5,0.5,0.5,0.5
a2dd854c9c_18.mp4,0.75,0.5,0.5,0.5,0.5
dad8f52d67_6.mp4,0.5,0.25,0.25,1.0,0.5
4c08eeaf99_17.mp4,0.25,0.25,0.25,0.5,0.5
8672769492_9.mp4,0.75,0.5,0.5,0.5,0.75
480f40cc10_6.mp4,0.25,0.5,0.5,0.5,0.5
d858a95536_101.mp4,1.0,0.25,0.25,0.5,0.75
d858a95536_59.mp4,0.25,0.25,0.25,1.0,0.25
daca3c1672_17.mp4,0.5,0.5,0.5,0.5,0.75
244d898e60_1.mp4,0.5,0.5,0.5,0.5,0.5
17becab0e7_8.mp4,0.5,0.5,0.5,0.5,0.5
cccd9e16ac_7.mp4,0.25,0.5,0.5,0.5,0.5
d858a95536_129.mp4,0.75,0.25,0.25,0.75,0.75
1a0f97af1e_59.mp4,0.0,0.0,0.0,0.25,0.25
6df776419c_10.mp4,0.5,0.5,0.5,0.5,0.5
4c08eeaf99_2.mp4,0.5,0.5,0.5,0.25,0.5
4f2dda223f_24.mp4,0.5,0.5,0.5,0.5,0.5
a2dd854c9c_24.mp4,0.75,0.5,0.5,0.5,0.5
ef2f7d7dbf_11.mp4,0.25,0.25,0.25,0.25,0.5
95a8d39321_10.mp4,0.5,0.75,0.75,0.75,0.75
113ecbc550_6.mp4,0.5,0.5,0.5,0.5,0.5
d858a95536_65.mp4,0.5,0.25,0.25,0.75,0.5
7f0ab09185_15.mp4,0.5,0.5,0.5,0.5,0.5
720fccf6b1_37.mp4,0.5,0.5,0.5,0.5,0.5
8672769492_48.mp4,0.5,0.75,0.75,0.75,0.5
2cb5b3df8d_27.mp4,0.5,0.25,0.25,0.5,0.5
e3a65645cf_9.mp4,0.5,0.5,0.5,0.25,0.5
2cb5b3df8d_33.mp4,0.25,0.25,0.25,0.5,0.5
abb4fc1003_2.mp4,0.5,0.5,0.5,0.25,0.75
8afeea2583_7.mp4,0.5,0.5,0.5,0.5,0.5
049dbc8289_51.mp4,0.5,0.5,0.5,0.75,0.5
720fccf6b1_23.mp4,0.25,0.5,0.5,0.5,0.5
9d22732682_57.mp4,0.5,0.5,0.5,0.25,0.75
1b3d1fb598_9.mp4,0.25,0.25,0.25,0.5,0.5
84125c414e_3.mp4,0.75,0.25,0.25,0.5,0.5
9928319982_14.mp4,0.75,0.5,0.5,0.0,0.5
8672769492_60.mp4,0.5,0.5,0.5,1.0,0.5
9d22732682_43.mp4,0.5,0.5,0.5,0.5,0.75
404cb61dd9_8.mp4,0.5,0.5,0.5,0.5,0.75
068371806d_33.mp4,0.5,0.25,0.25,0.25,0.5
c8c00639ec_34.mp4,0.5,0.5,0.5,0.5,0.5
8172b14d94_10.mp4,0.5,0.5,0.5,0.5,0.5
